code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type
DUR,FALE,King Shaka International Airport,-29.6099422,31.11688170804795,246,,Africa/Johannesburg,DUR,ZA,Ballitoville,KwaZulu-Natal,iLembe District Municipality,AP
DUS,EDDL,Dusseldorf International Airport,51.2869035,6.761736665024513,108,http://www.dus.com/dus_en/,Europe/Berlin,DUS,DE,,,,AP
DUT,PADU,Unalaska Airport,53.8966037,-166.5415409,16,,America/Nome,DUT,US,,,,AP
DVD,,Andavadoaka,-22.078333,43.259167,42,,Indian/Antananarivo,DVD,MG,,,,AP
DVK,CDK2,Diavik,64.5113983,-110.289001,1387,,America/Yellowknife,DVK,CA,,,,AP
DVL,KDVL,Devils Lake Airport,48.1138202,-98.9072037,1361,http://www.devilslakeairport.com/,America/Chicago,DVL,US,Devils Lake,North Dakota,Ramsey County,AP
DVN,KDVN,Davenport,41.60892285,-90.58936777613083,734,http://www.cityofdavenportiowa.com/department/?fDD=47-0,America/Chicago,DVN,US,Eldridge,Iowa,Scott County,AP
DVO,RPMD,Francisco Bangoy Intl Airport,7.124879699999999,125.64345755531545,72,,Asia/Manila,DVO,PH,Babak,Davao,Province of Davao del Norte,AP
DVP,YDPD,Davenport Downs,-24.1499996,141.1080017,305,,Australia/Brisbane,DVP,AU,,,,AP
DVR,YDMN,Daly River,-13.75071,130.69527136143924,72,,Australia/Darwin,DVR,AU,,,,AP
